1992.36 8.96 7.06 5.10 2.12 1.20                     2    ESO mean of May 9+10 (KAH & DYA)
1992.38 8.44 6.83 5.00 2.51                          4    saao 24
1992.44 8.40 6.82 5.00 2.52                          4
1992.47 8.46 6.85 5.01 2.54                          4
1992.48 9.16 7.14 5.13 2.13 1.20                     2    ESO Patrice June 25
1992.53 8.45 6.86 5.03 2.56                          4
1992.63 8.51 6.90 5.07 2.63                          4
1993.04 8.48 6.94 5.11 2.60                          4
1993.17 9.01 7.15 5.24 2.26 1.35                     2    2.2m March 3
1993.18 8.98 7.14 5.24 2.26 1.35                     2    ESO Diah Mar 5
1993.32 8.52 6.91 5.14 2.68                          4    SAAO Patricia e-mail 18-FEB-94
1993.43 8.42 6.87 5.12 2.69                          4
1993.53 8.95 7.10 5.21 2.31 1.38                     2    ESO Patrice July 11-15
1993.64 8.44 6.90 5.14 2.75                          4    SAAO Patricia e-mail 18-FEB-94
1994.08 8.56 6.97 5.23 2.79                          4
1994.14 8.46 6.86 5.14 2.77                          4    SAAO Yvonne Thomas 22/8/94
1994.41 8.35 6.62 4.91 2.68                          4
1994.45 8.28 6.55 4.85 2.67                          4 
1994.63 8.32 6.58 4.84 2.62                          4   Aug 18
1994.65 8.34 6.59 4.84 2.59                          4   Aug 25 BSC rev Veronique
1995.05 8.43 6.75 4.96 2.61                          4   1995 Jan 17 2449734.6 PAW 
1995.28 8.46 6.79 4.98 2.68                          4   Apr 12
1995.46 8.46 6.85 5.04 2.68                          4   Jun 18
1996.02 8.47 6.91 5.13 2.76                          4   2450091
1996.12 8.44 6.89 5.13 2.77                          4
1996.26 8.45 6.95 5.21 2.75                          4
1996.31 8.75 7.11 5.37 2.49 1.61                     2   ESO IRAC1 MD+PMW
1996.34 8.42 6.95 5.20 2.83                          4
1996.42 8.47 6.95 5.22 2.86                          4
1996.48 8.49 6.95 5.23 2.90                          4
1997.10 8.46 7.02 5.32 2.90                          4   2450483.6 PAW 24/11
1997.39 8.46 7.07 5.44 3.03                          4
1997.47 8.52 7.06 5.43 3.07                          4
1997.96 8.41 6.82 5.12 2.89                          4   2450797.6
1998.21 9.07 7.12 5.20 2.54 1.78                     2   ESO IRAC1 PMV   
1998.46 8.44 6.92 5.23 2.98                          4   2450980.3 PAW  8/12
1999.15 8.40 6.83 5.14 2.92                          4   24511234 PAW 8/12/99
1999.33 8.46 6.93 5.23 2.94                          4
1999.49 8.45 6.93 5.21 2.99                          4   2451358 PAW 8/12/99
2000.09 8.34 6.68 5.02 2.89                          4   2451576 PAW 10/11/00
2000.19 8.39 6.71 4.99 2.86                          4
2000.36 8.42 6.75 5.02 2.86                          4
2000.39 8.45 6.77 5.02 2.87                          4
2000.47 8.42 6.79 5.05 2.84                          4
2000.54 8.43 6.82 5.06 2.86                          4
2000.66 8.44 6.84 5.08 2.88                          4   2451785 PAW 10/11/00
2001.16 8.42 6.86 5.14 2.93                          4   2451967 PAW 
2001.19 8.42 6.86 5.14 2.89                          4
2001.44 8.40 6.78 5.06 2.90                          4
2001.50 8.41 6.79 5.06 2.87                          4
2001.57 8.45 6.80 5.07 2.88                          4
2002.04 8.52 6.85 5.10 2.90                          4    2452290 PAW 10/1/03 
2002.13 8.41 6.81 5.08 2.91                          4
2002.21 8.41 6.84 5.15 2.90                          4    K 5.121, 5.176
2002.30 8.42 6.80 5.11 2.94                          4
2002.41 8.36 6.75 5.07 2.93                          4
2002.48 8.38 6.74 5.05 2.91                          4    2452451
2003.15 8.44 6.87 5.18 2.97                          4    2452694 PAW 13/11/03
2003.32 8.36 6.72 5.03 2.92                          4
2003.43 8.55 6.82 5.05 2.94                          4    2452798 
2003.63 8.38 6.68 4.97 2.86                          4    2452868 PAW 30/9/04
2004.16 8.41 6.72 4.92 2.76                          4    2453065 
2004.31 8.36 6.66 4.90 2.74                          4
2004.47 8.22 6.42 4.70 2.61                          4
2004.52 8.24 6.39 4.66 2.60                          4    2453194
2005.10 8.26 6.37 4.54 2.43                          4    2453408
2005.19 8.31 6.42 4.55 2.42                          4
2005.37 8.30 6.43 4.60 2.43                          4
2005.52 8.28 6.38 4.55 2.45                          4    2453562 PAW 
2006.47 8.19 6.05 4.19 2.14                          4    2453906 PAW 2010 Aug 
2006.55 8.13 6.06 4.20 2.13                          4    2453935         
2007.23 7.99 5.77 3.88 1.84                          4    JHK mean 2 obs, L 14183.61
2007.36 7.93 5.70 3.81 1.75                          4    2454234
2009.49 7.52 5.04 3.16 1.08                          4    2455011 PAW 2010 Aug
2010.43 7.56 4.90 2.99 0.99                          4    2455353 PAW 2010 Aug (2)
2011.16 7.21 4.71 2.86 0.82                          4    2455621 PAW 2011 Mar 3
2011.22 7.26 4.75 2.92 0.99                          4    2455642 PAW April 8
2011.46 7.26 4.73 2.84 0.77                          4    2455731 PAW July 16
2011.47 7.24 4.72 2.85 0.77                          4    2455733 PAW July 16
