Wavelength,H_blocker,K,L,M
1.31891,0.000796903,0.00234604,0.00137615,0.000588417
1.31926,0.00129956,0.00177503,0.000896931,0.00100565
1.31961,0.00178203,0.00140619,0.00178623,0.00168705
1.31996,0.000622578,0.00282788,0.00123811,0.000343323
1.32031,0.00117161,0.00269484,0.00253964,0.00122476
1.32066,0.00297799,0.000389099,0.00158072,0.000808239
1.321,0.00320185,0.00333643,0.00311399,0.000823259
1.32135,0.00208904,0.00539684,0.000296354,0.0020659
1.3217,0.00278862,0.00212431,0.00177503,0.00203514
1.32205,0.000726884,0.00361419,0.0021708,0.00130057
1.3224,0.00121448,0.00159431,0.00149107,0.0011785
1.32275,0.00151633,0.00436401,0.00225162,0.00129414
1.3231,0.00247202,0.00543356,0.000745058,0.00127745
1.32345,0.00157969,0.00295401,0.000480413,0.00201058
1.3238,0.00125543,0.00294447,0.00223708,0.000998259
1.32415,0.000577602,0.00416708,0.00145316,0.00176525
1.3245,0.000237103,0.00300431,0.000472546,0.00199723
1.32485,0.00280253,0.00257707,0.0021205,0.0021472
1.32521,0.00225011,0.00356674,0.000799894,0.00139546
1.32556,0.00209662,0.00480557,0.00320458,0.00199723
1.32591,0.0013214,0.00398302,0.00235462,0.00242495
1.32626,0.00102641,0.0055151,0.00180554,0.0021472
1.32661,0.0011743,0.00500512,0.00238085,0.00266194
1.32696,0.00185418,0.00421977,0.0008533,0.00136375
1.32732,0.00135528,0.00407863,0.00293851,0.00307012
1.32767,0.00119775,0.00526214,0.00205302,0.000943422
1.32802,0.00221049,0.00276041,0.000603676,0.000481129
1.32837,0.00047478,0.00506854,0.000280619,0.00206137
1.32873,0.000622438,0.00641179,0.00059557,0.00197101
1.32908,0.000643376,0.00401711,0.00302362,0.00367212
1.32943,0.001024,0.00471163,0.00253773,0.000244141
1.32979,0.000446286,0.00599003,0.00191641,0.00176883
1.33014,0.000702717,0.00603437,0.00246835,0.00199199
1.33049,0.00121227,0.00439453,0.00192046,0.000579596
1.33085,0.00161541,0.00482511,0.00114775,0.00135493
1.3312,0.00128271,0.00736427,0.000509739,0.00208259
1.33156,0.00168524,0.00721622,0.00108218,0.00257134
1.33191,0.00118298,0.00585079,0.000871658,0.00284815
1.33227,0.00211305,0.00780511,0.00115633,0.000967979
1.33262,0.00208212,0.00616956,0.0014751,0.00223398
1.33298,0.000832076,0.00617742,0.00142002,0.0011735
1.33333,0.000838782,0.0076561,0.00138617,0.000617027
1.33369,0.00174325,0.00760198,0.000983,0.00165248
1.33404,0.00210458,0.00687575,0.0015924,0.00143075
1.3344,0.0014224,0.006814,0.00176001,0.00145245
1.33476,0.0019492,0.00816321,0.00243854,0.00134635
1.33511,0.00139381,0.00842118,0.000687838,0.0014348
1.33547,0.000118255,0.00769043,0.00228787,0.00154757
1.33583,0.00224497,0.0125151,0.00220084,0.000253916
1.33618,0.00204716,0.00880313,0.00230765,0.00140309
1.33654,0.000815662,0.00907612,0.000660896,0.00077939
1.3369,0.00117916,0.00655651,0.00158429,0.00157571
1.33726,0.00098866,0.00998235,0.00150657,0.00196362
1.33761,0.000858592,0.0115371,0.000649691,0.00241375
1.33797,0.000187213,0.00927687,0.00136113,0.000334024
1.33833,0.000947222,0.00978208,0.0015173,0.000750303
1.33869,0.000492418,0.0118017,0.00206661,0.00140262
1.33905,0.00269206,0.0112226,0.00063467,0.00179577
1.33941,0.00145437,0.0108492,0.00148249,0.000449657
1.33976,0.000726955,0.01145,0.00403237,0.00164127
1.34012,0.00149322,0.0102494,0.000685692,0.000928164
1.34048,0.00106828,0.0125086,0.00382066,0.0011394
1.34084,0.00138258,0.011296,0.00267243,0.000996828
1.3412,0.00250244,0.010658,0.00118017,0.000636101
1.34156,0.00153622,0.0113816,0.000781536,0.00141335
1.34192,0.00147989,0.011595,0.00082922,0.00199008
1.34228,0.000620491,0.0160589,0.00249815,0.00114536
1.34264,0.0032271,0.0129807,0.00125313,0.00162673
1.343,0.0033469,0.0117607,0.00167823,0.00197601
1.34336,0.000492666,0.0132286,0.00190544,0.00188899
1.34372,0.00132627,0.0139768,0.000306368,0.000911236
1.34409,0.00122271,0.0125813,0.00177312,0.000571728
1.34445,0.000778202,0.0159457,0.00310802,-9.08E-05
1.34481,0.00064167,0.0150285,0.00236034,0.00130844
1.34517,0.00142223,0.0134912,0.0013268,0.00111937
1.34553,0.00246417,0.015151,0.00235581,0.00166964
1.3459,0.000899121,0.0146263,0.00143814,0.00198364
1.34626,0.000683737,0.0159135,0.0015018,0.00126243
1.34662,0.00142394,0.0165684,0.0033853,0.00186801
1.34698,0.000961212,0.0134449,0.00116157,0.00250983
1.34735,0.00204691,0.0151362,0.00366402,0.000948667
1.34771,0.00158589,0.014971,0.00130439,0.000358581
1.34807,0.000721107,0.0176318,0.000482559,0.00121093
1.34844,0.000986071,0.0145991,0.000608444,0.00289488
1.3488,0.000421311,0.0167162,0.00156259,0.00134182
1.34916,0.000374753,0.0174346,0.000669956,0.00120091
1.34953,0.000688169,0.0166099,0.00029397,0.00143743
